12,44,15,18,1,42
14,15,48,4,24,41
16,32,46,9,45,26
47,16,31,24,46,47
5,10,39,17,35,38
2,49,13,21,22,52
29,20,10,17,1,36
46,21,12,32,18,49
8,7,36,48,44,9
32,7,15,25,13,9
49,24,47,32,38,12
18,21,17,45,3,21
49,12,26,41,44,44
45,5,14,7,21,36
18,10,33,46,51,13
38,20,10,50,6,27
40,28,17,51,30,44
41,26,21,35,9,17
6,16,49,30,1,13
32,22,10,3,7,23
30,45,14,43,42,30
36,34,2,52,8,21
1,30,21,20,13,24
6,52,49,43,11,21
9,36,52,24,2,44
25,50,30,35,40,4
49,30,40,52,47,3
29,36,23,51,16,49
32,4,36,29,35,11
51,49,45,28,3,52
9,32,14,6,50,4
46,22,12,39,35,32
37,8,17,10,49,20
3,45,31,27,41,33
17,46,25,8,47,13
39,32,29,8,17,49
11,23,10,8,2,40
13,51,39,50,36,34
51,24,42,29,6,41
37,48,46,22,12,49
48,22,47,25,8,27
10,35,17,1,23,45
32,50,39,21,15,34
15,37,39,29,3,40
19,44,14,17,50,17
9,34,25,37,30,30
10,32,36,19,46,6
46,44,2,51,36,45
49,20,27,4,38,31
39,5,36,34,18,43
13,27,39,36,51,33
7,17,16,48,26,15
4,47,16,18,41,46
45,37,17,29,24,43
28,12,52,39,36,36
29,27,18,23,44,24
10,15,7,51,11,23
10,52,17,41,9,19
32,18,19,29,42,32
10,13,19,38,28,1
39,38,25,10,50,12
6,31,7,8,48,19
29,11,45,23,25,16
37,52,39,13,31,38
35,44,21,3,22,7
44,6,15,32,21,13
37,5,35,12,25,12
24,13,8,10,11,46
19,21,34,16,35,22
1,13,2,16,22,31
23,38,4,33,49,7
31,25,18,44,29,33
14,45,31,48,41,20
36,22,28,26,23,10
12,17,37,34,39,34
5,2,47,50,21,46
5,46,25,47,38,14
14,42,25,15,44,3
14,44,34,38,4,10
30,51,36,38,13,35
17,11,52,27,45,5
12,37,38,50,35,49
38,25,49,16,3,4
15,19,3,1,29,39
26,49,11,50,30,52
18,50,1,42,39,35
17,10,8,24,39,52
8,39,48,49,34,47
16,17,41,33,21,6
51,19,18,39,4,13
36,4,8,30,24,25
34,6,50,19,13,33
20,3,24,7,43,36
39,43,49,25,14,27
41,18,26,10,31,48
32,42,24,49,50,3
3,41,30,29,43,1
28,11,20,52,26,7
5,51,35,31,33,1
30,9,28,27,10,18
36,1,51,12,24,38
35,30,8,51,32,17
43,9,37,7,18,34
22,20,52,10,28,4
32,52,41,12,37,13
19,49,32,1,22,29
37,47,23,22,42,15
40,27,34,32,14,2
38,42,34,47,16,1
7,22,31,38,27,12
20,9,22,41,42,10
32,38,29,18,43,50
47,10,51,45,14,20
12,3,7,32,6,30
14,15,8,2,51,38
24,45,23,35,2,18
24,15,19,47,40,50
51,28,39,23,10,5
27,40,17,41,39,21
2,45,10,21,25,22
39,31,52,47,25,43
44,17,21,3,42,35
12,3,30,14,52,34
8,14,25,11,23,21
21,50,24,6,14,28
21,38,3,20,16,10
19,35,42,1,31,34
18,28,41,45,15,27
50,38,13,37,4,24
48,39,18,8,1,1
7,13,10,39,35,21
14,8,22,31,15,13
35,36,18,31,19,17
14,34,26,27,44,27
9,48,29,2,28,33
11,43,37,27,6,34
19,11,49,18,45,2
42,17,18,30,7,38
28,11,32,19,45,10
45,4,19,51,52,22
35,13,5,17,33,35
20,47,43,50,15,24
37,26,49,39,25,29
42,14,5,47,6,3
49,46,25,23,43,26
33,42,18,34,22,16
7,2,28,46,5,21
46,42,17,7,52,47
12,25,51,50,7,19
40,38,25,42,11,40
39,27,23,21,33,8
10,29,7,44,9,17
40,3,27,44,6,9
45,39,28,40,9,24
17,7,34,50,22,24
5,13,38,22,37,11
47,28,6,4,14,42
7,14,46,47,28,25
29,50,14,37,31,34
29,10,48,49,1,36
40,50,35,16,49,34
46,13,40,50,9,30
44,14,56,43,50,7
37,43,46,2,20,4
42,41,50,14,25,40
50,38,55,22,48,29
45,23,50,9,48,3
32,39,17,53,5,36
25,13,48,36,9,2
13,54,7,48,51,11
35,54,27,7,18,34
29,55,1,18,10,8
4,16,25,23,40,22
50,22,39,17,52,46
5,53,48,50,3,4
35,43,36,52,13,5
54,45,38,8,37,21
9,55,20,15,24,3
36,2,18,46,13,36
8,6,13,7,40,12
54,38,5,20,47,35
19,56,42,32,49,29
1,53,14,4,45,33
1,50,8,31,27,40
51,15,52,43,28,11
44,52,48,13,24,30
5,41,50,16,46,1
40,35,36,42,52,45
41,6,20,7,51,38
26,17,14,28,27,5
1,30,52,3,14,10
28,12,36,29,24,41
23,27,36,2,4,37
54,42,30,53,24,20
25,34,6,20,24,44
3,33,12,32,16,15
17,28,36,29,11,42
18,12,7,55,31,30
25,53,28,8,17,1
28,18,21,36,5,20
54,9,7,41,53,38
21,25,8,27,16,16
14,9,51,34,50,40
4,40,2,48,5,7
8,18,21,46,42,11
37,43,9,22,41,30
25,31,5,34,33,41
7,52,8,47,51,5
12,3,38,44,21,45
33,26,10,6,30,16
15,14,31,43,32,20
41,22,9,10,12,4
25,31,56,14,26,17
6,56,23,20,40,36
39,10,37,54,49,8
55,27,24,49,11,23
14,25,44,20,40,37
20,38,19,15,32,21
28,53,11,37,8,12
38,37,7,27,32,30
27,53,5,21,44,36
39,32,24,40,37,44
28,18,22,44,53,46
36,34,55,31,51,4
2,7,29,8,18,46
53,1,54,35,56,44
52,29,32,41,31,42
30,48,2,25,16,26
24,46,39,43,40,2
49,54,36,27,43,33
16,31,46,25,43,28
23,14,45,36,27,36
34,3,12,5,16,27
2,4,35,48,36,22
39,29,38,25,46,4
36,15,27,42,38,32
18,4,51,54,17,31
30,42,28,50,27,22
52,11,23,48,8,5
28,17,31,16,4,8
49,2,47,1,17,19
14,39,18,35,49,14
19,7,52,4,50,15
56,25,9,48,51,7
52,31,46,18,1,37
12,2,56,45,46,20
10,8,18,33,29,10
13,34,25,14,50,6
7,27,4,41,2,4
39,20,1,37,32,9
16,36,29,32,55,12
11,22,27,31,7,33
53,8,55,20,39,10
43,7,15,24,44,22
45,39,36,52,6,45
24,50,40,48,7,15
12,56,31,5,51,1
54,48,17,21,28,1
14,48,12,20,47,24
13,34,45,28,2,36
